name,url,address,local,rating,reviews_count,stars,price,latitude,longitude,distance_to_local,source,date_updated,name_upper,rating_text,region_name,distance_to_shore,count_rooms,count_photo
Дом отдыха В Байкальске,https://101hotels.com/main/cities/baikalsk/vacation_home_in_baykalsk.html,"Байкальск, ул. Набережная, д. 17-2",Байкальск,9.8,8.0,0.0,2800.0,51.52513,104.13995,1600.0,101Hotels,01.03.2023,ДОМ ОТДЫХА В БАЙКАЛЬСКЕ,ВЕЛИКОЛЕПНО,,219.0,2,13
База отдыха Виктория,https://101hotels.com/main/cities/goryachinsk/baza_otdiha_viktoriya_2.html,"Горячинск, улица Шилкиных 10",Горячинск,7.6,3.0,0.0,6500.0,52.98926,108.31294,1000.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ВИКТОРИЯ,ОЧЕНЬ ХОРОШО,,2000.0,14,17
Дом отдыха На Островского 37/1,https://101hotels.com/main/cities/leestvyanka/vacation_home_on_ostrovskogo_371.html,"Листвянка, ул. Островского, д. 37/1",Листвянка,9.6,5.0,0.0,5000.0,51.85924,104.86729,500.0,101Hotels,01.03.2023,ДОМ ОТДЫХА НА ОСТРОВСКОГО 37/1,ВЕЛИКОЛЕПНО,,579.0,2,14
Дом,https://101hotels.com/main/cities/utulik/dom_15.html,"Утулик, Новая, 5",Утулик,9.4,4.0,0.0,2500.0,51.53793,104.05975,700.0,101Hotels,01.03.2023,ДОМ,ВЕЛИКОЛЕПНО,,1800.0,2,24
База отдыха EMERALD,https://101hotels.com/main/cities/vidrino/emerald_1.html,"Выдрино, ул. Красных Партизан, д. 47",Выдрино,4.9,3.0,0.0,3600.0,51.445112,104.64824,1700.0,101Hotels,01.03.2023,БАЗА ОТДЫХА EMERALD,НОРМАЛЬНО,,3200.0,1,1
База отдыха Родные берега,https://101hotels.com/main/cities/sarma/gostevie_doma_na_rodnih_beregah.html,"Иркутская обл., Ольхонский р-н, д. Сарма",Сарма,8.9,37.0,0.0,200.0,53.07954111839509,106.807,2900.0,101Hotels,01.03.2023,БАЗА ОТДЫХА РОДНЫЕ БЕРЕГА,ОТЛИЧНО,,1300.0,20,62
База отдыха Зуун Хагун,https://101hotels.com/main/cities/shida/guest_house_zoon.html,"Иркутская обл., Ольхонский р-н, местность Зуун-Хагун",Шида,8.7,9.0,0.0,800.0,53.03337805098623,106.812,3400.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ЗУУН ХАГУН,ОТЛИЧНО,,355.0,40,35
База отдыха ОЛЬХОН,https://101hotels.com/main/cities/huzhir/baza_otdiha_olhon.html,"Иркутская обл., Ольхонский р-н, п. Хужир, ул. Байкальская, д. 64/2",Хужир,9.6,1.0,2.0,2500.0,53.19383873771283,107.354,700.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ОЛЬХОН,ВЕЛИКОЛЕПНО,,27200.0,28,42
База отдыха Радуга,https://101hotels.com/main/cities/maksimiha/tsentr_otdiha_raduga.html,"Бурятия, Баргузинский р-н, с. Максимиха, ул. Баргузинская, д. 1Г",Максимиха,8.3,5.0,3.0,945.0,53.266727,108.7463,600.0,101Hotels,01.03.2023,БАЗА ОТДЫХА РАДУГА,ОТЛИЧНО,,42500.0,30,63
Загородный отель Мелодия Ольхона,https://101hotels.com/main/cities/harantsi/gostevoy_dom_melodiya_olhona.html,"Иркутская обл., Ольхонский р-н, д. Харанцы, ул. Песчаная, д. 4",Харанцы,9.3,33.0,2.0,5600.0,53.2235,107.41214,700.0,101Hotels,01.03.2023,ЗАГОРОДНЫЙ ОТЕЛЬ МЕЛОДИЯ ОЛЬХОНА,ВЕЛИКОЛЕПНО,,422.0,16,20
База отдыха ON OLkhON,https://101hotels.com/main/cities/huzhir/baza_otdiha_on_olkhon.html,"Иркутская обл., Ольхонский р-н, ДНТ Ханхой, д. 3",Хужир,9.3,11.0,0.0,500.0,53.143993,107.18732,11800.0,101Hotels,01.03.2023,БАЗА ОТДЫХА ON OLKHON,ВЕЛИКОЛЕПНО,,22900.0,6,11
Загородный отель Аквамарин,https://101hotels.com/main/cities/leestvyanka/zagorodniy_otel_akvamarin.html,"Иркутская обл., Иркутский р-н, п. Листвянка, ул. Чапаева, д. 104А",Листвянка,,0.0,0.0,15000.0,51.86251,104.878777,700.0,101Hotels,01.03.2023,ЗАГОРОДНЫЙ ОТЕЛЬ АКВАМАРИН,,,1100.0,11,10
